UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Air temperature [K]_rolling_mean,Air temperature [K]_rolling_std,Process temperature [K]_rolling_mean,Process temperature [K]_rolling_std,Rotational speed [rpm]_rolling_mean,Rotational speed [rpm]_rolling_std,Torque [Nm]_rolling_mean,Torque [Nm]_rolling_std,Tool wear [min]_rolling_mean,Tool wear [min]_rolling_std,Air temperature [K]_lag_1,Air temperature [K]_lag_3,Air temperature [K]_lag_5,Process temperature [K]_lag_1,Process temperature [K]_lag_3,Process temperature [K]_lag_5,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_3,Rotational speed [rpm]_lag_5,Torque [Nm]_lag_1,Torque [Nm]_lag_3,Torque [Nm]_lag_5,Tool wear [min]_lag_1,Tool wear [min]_lag_3,Tool wear [min]_lag_5,torque_speed_interaction,failure_label
1,M14860,M,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0,No Failure,,,,,,,,,,,,,,,,,,,,,,,,,,66382.79999999999,0
2,L47181,L,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,No Failure,,,,,,,,,,,298.1,,,308.6,,,1551.0,,,42.8,,,0.0,,,65190.399999999994,0
3,L47182,L,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0,No Failure,,,,,,,,,,,298.2,,,308.7,,,1408.0,,,46.3,,,3.0,,,74001.2,0
4,L47183,L,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0,No Failure,,,,,,,,,,,298.1,298.1,,308.5,308.6,,1498.0,1551.0,,49.4,42.8,,5.0,0.0,,56603.5,0
5,L47184,L,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0,No Failure,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,4.8,3.492849839314596,298.2,298.2,,308.6,308.7,,1433.0,1408.0,,39.5,46.3,,7.0,3.0,,56320.0,0
6,M14865,M,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,No Failure,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1434.4,37.17929531338641,43.419999999999995,4.284506972803289,7.0,3.1622776601683795,298.2,298.1,298.1,308.7,308.5,308.6,1408.0,1498.0,1551.0,40.0,49.4,42.8,9.0,5.0,0.0,59707.5,0
7,L47186,L,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0,No Failure,298.14,0.05477225575050139,308.6,0.07071067811863264,1464.4,62.46839200747842,42.64,3.9727824002832084,9.2,3.492849839314596,298.1,298.2,298.2,308.6,308.6,308.7,1425.0,1433.0,1408.0,41.9,39.5,46.3,11.0,7.0,3.0,66059.2,0
8,L47187,L,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0,No Failure,298.14,0.05477225575050139,308.62,0.04472135955000755,1470.2,67.51073988633212,40.8,1.2708265027138925,11.4,3.646916505762094,298.1,298.2,298.1,308.6,308.7,308.5,1558.0,1408.0,1498.0,42.4,40.0,49.4,14.0,9.0,5.0,61385.4,0
9,M14868,M,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0,No Failure,298.15999999999997,0.08944271909998187,308.64,0.05477225575056409,1517.0,105.62433431742892,38.62,5.697543330243311,13.6,3.646916505762094,298.1,298.1,298.2,308.6,308.6,308.6,1527.0,1425.0,1433.0,40.2,41.9,39.5,16.0,11.0,7.0,47676.200000000004,0
10,M14869,M,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,No Failure,298.22,0.1788854381999675,308.7,0.1732050807569382,1583.6,123.23067799862174,36.22,7.278873539222953,16.0,3.8078865529319543,298.3,298.1,298.2,308.7,308.6,308.7,1667.0,1558.0,1408.0,28.6,42.4,40.0,18.0,14.0,9.0,48748.0,0
11,H29424,H,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0,No Failure,298.28000000000003,0.1788854381999675,308.76,0.18165902124592503,1655.0,111.20026978384541,32.62,8.16468003047273,18.6,3.974921382870358,298.5,298.1,298.1,309.0,308.6,308.6,1741.0,1527.0,1425.0,28.0,40.2,41.9,21.0,16.0,11.0,42589.799999999996,0
12,H29425,H,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0,No Failure,298.38,0.19235384061674488,308.86,0.20736441353340643,1628.0,150.1932089010685,33.0,8.756426211645945,21.6,5.128352561983233,298.4,298.3,298.1,308.9,308.7,308.6,1782.0,1667.0,1558.0,23.9,28.6,42.4,24.0,18.0,14.0,63038.899999999994,0
13,M14872,M,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0,No Failure,298.48,0.13038404810417126,308.96,0.16733200530707992,1590.4,197.78978740066435,35.17999999999999,11.818502443203203,25.2,6.379655163094632,298.6,298.5,298.1,309.1,309.0,308.6,1423.0,1741.0,1527.0,44.3,28.0,40.2,29.0,21.0,16.0,68422.90000000001,0
14,M14873,M,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,No Failure,298.54,0.08944271910019834,309.06,0.11401754251042022,1605.4,207.64946424202495,35.46,11.638857332229831,29.0,6.670832032063166,298.6,298.4,298.3,309.1,308.9,308.7,1339.0,1782.0,1667.0,51.1,23.9,28.6,34.0,24.0,18.0,52260.0,0
15,L47194,L,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0,No Failure,298.56000000000006,0.08944271910021263,309.1,0.12247448713966831,1664.2,283.4408227478886,33.78,13.450167285205048,32.8,6.379655163094632,298.6,298.6,298.5,309.2,309.1,309.0,1742.0,1423.0,1741.0,30.0,44.3,28.0,37.0,29.0,21.0,39886.0,0
16,L47195,L,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0,No Failure,298.6,0.0,309.16,0.054772255751766724,1616.2,278.78791222002434,38.67999999999999,13.413687039736686,36.4,5.128352561983234,298.6,298.6,298.4,309.2,309.1,308.9,2035.0,1339.0,1782.0,19.6,51.1,23.9,40.0,34.0,24.0,74632.8,0
17,M14876,M,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,No Failure,298.6,0.0,309.17999999999995,0.04472135955158295,1593.8,301.7460853101495,39.14,13.691165034430048,39.4,3.9749213828703582,298.6,298.6,298.6,309.2,309.2,309.1,1542.0,1742.0,1423.0,48.4,30.0,44.3,42.0,37.0,29.0,61092.6,0
18,M14877,M,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,No Failure,298.62,0.044721359550515406,309.2,0.0,1608.0,288.12063445716626,38.040000000000006,12.67312116252346,42.0,3.8078865529319548,298.6,298.6,298.6,309.2,309.2,309.1,1311.0,2035.0,1339.0,46.6,19.6,51.1,44.0,40.0,34.0,64296.0,0
19,H29432,H,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,No Failure,298.66,0.08944271910028015,309.2,0.0,1520.8,303.0193063156208,42.94,13.496962621271491,44.6,3.9749213828703582,298.7,298.6,298.6,309.2,309.2,309.2,1410.0,1542.0,1742.0,45.6,48.4,30.0,47.0,42.0,37.0,71177.0,0
20,M14879,M,-0.5524211743618752,-0.47555368847852436,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,No Failure,298.72,0.13038404810426416,309.21999999999997,0.04472135955173866,1440.2,143.84436033435583,45.519999999999996,8.056488068631378,47.6,5.128352561983234,298.8,298.6,298.6,309.2,309.2,309.2,1306.0,1311.0,2035.0,54.5,46.6,19.6,50.0,44.0,40.0,53040.0,0
21,H29434,H,-0.5524211743618752,-0.47555368847852436,-0.9135461156482079,0.2721680913413756,-0.784764235745499,0,No Failure,298.78000000000003,0.13038404810428542,309.24,0.05477225575201515,1406.8,133.2992873199253,44.379999999999995,7.949654080524497,50.8,5.718391382198319,298.9,298.7,298.6,309.3,309.2,309.2,1632.0,1410.0,1542.0,32.5,45.6,48.4,55.0,47.0,42.0,58712.50000000001,0
